GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:09:30 MST 2025,02-Nov-2025 01:09:30.382,-121.76871977,37.32706746,0.0,3.2160000801086426,113.0,0.0,0.16280572,12.37323475,6.97191525,0.35890812,
Sun Nov 02 01:09:31 MST 2025,02-Nov-2025 01:09:31.383,-121.76872285,37.32706744,0.5299999713897705,3.2160000801086426,113.0,115.0999984741211,1.60890353,10.82658005,-1.90578461,0.15153307,
Sun Nov 02 01:09:32 MST 2025,02-Nov-2025 01:09:32.383,-121.76872427,37.32706859,0.0,3.2160000801086426,113.0,0.0,-0.18195933,10.48181534,-1.96803379,0.10631114,
Sun Nov 02 01:09:33 MST 2025,02-Nov-2025 01:09:33.383,-121.76872236,37.32706744,0.0,3.2160000801086426,113.0,0.0,5.05176544,8.82502747,-1.9488802,0.07442528,
Sun Nov 02 01:09:34 MST 2025,02-Nov-2025 01:09:34.384,-121.76871717,37.32706717,0.0,3.2160000801086426,113.0,0.0,4.72136593,9.31344414,-1.64721072,0.09656805,
Sun Nov 02 01:09:35 MST 2025,02-Nov-2025 01:09:35.383,-121.768713,37.32706643,0.0,3.2160000801086426,113.0,0.0,3.84508801,9.01656342,-2.04943657,0.03981084,
Sun Nov 02 01:09:36 MST 2025,02-Nov-2025 01:09:36.383,-121.76870829,37.32706683,0.0,3.2160000801086426,113.0,0.0,5.46356821,8.95910263,-3.54341841,0.14802498,
Sun Nov 02 01:09:37 MST 2025,02-Nov-2025 01:09:37.383,-121.76870694,37.32706752,0.0,3.2160000801086426,114.0,0.0,-0.34476504,10.81221485,2.95444489,0.1621092,
Sun Nov 02 01:09:38 MST 2025,02-Nov-2025 01:09:38.383,-121.76870497,37.32706782,0.0,3.2160000801086426,113.0,0.0,0.36870706,9.61990261,3.96958637,0.08049482,
Sun Nov 02 01:09:39 MST 2025,02-Nov-2025 01:09:39.383,-121.76870303,37.32706832,0.0,3.2160000801086426,113.0,0.0,1.08217919,9.0692358,4.80755711,0.13042459,
