SECONDS;PID;VALUE;UNITS;
73771.739182;Fuel Rail Pressure;3990;kPa;
73772.327182;Fuel Rail Pressure;4110;kPa;
73772.985182;Fuel Rail Pressure;4030;kPa;
73773.593182;Fuel Rail Pressure;3990;kPa;
73774.150182;Fuel Rail Pressure;3930;kPa;
73774.777182;Fuel Rail Pressure;3950;kPa;
73775.375182;Fuel Rail Pressure;4010;kPa;
73775.922182;Fuel Rail Pressure;3990;kPa;
73776.458182;Fuel Rail Pressure;3980;kPa;
73777.076182;Fuel Rail Pressure;3870;kPa;
73777.653182;Fuel Rail Pressure;3940;kPa;
73778.351182;Fuel Rail Pressure;3980;kPa;
73778.927182;Fuel Rail Pressure;3970;kPa;
73779.337182;Fuel Rail Pressure;4060;kPa;
73779.938182;Fuel Rail Pressure;4000;kPa;
73781.183182;Fuel Rail Pressure;4040;kPa;
73782.450182;Fuel Rail Pressure;4010;kPa;
73783.695182;Fuel Rail Pressure;4040;kPa;
73784.887182;Fuel Rail Pressure;4000;kPa;
73786.295182;Fuel Rail Pressure;4040;kPa;
73787.491182;Fuel Rail Pressure;4020;kPa;
73788.739182;Fuel Rail Pressure;4050;kPa;
73790.250182;Fuel Rail Pressure;3950;kPa;
73791.704182;Fuel Rail Pressure;3970;kPa;
73793.441182;Fuel Rail Pressure;4010;kPa;
73794.895182;Fuel Rail Pressure;4050;kPa;
73795.490182;Fuel Rail Pressure;4050;kPa;
73796.113182;Fuel Rail Pressure;3960;kPa;
73796.690182;Fuel Rail Pressure;4060;kPa;
73797.358182;Fuel Rail Pressure;4010;kPa;
73797.955182;Fuel Rail Pressure;4000;kPa;
73798.634182;Fuel Rail Pressure;4020;kPa;
73799.263182;Fuel Rail Pressure;3970;kPa;
73799.792182;Fuel Rail Pressure;4020;kPa;
73800.370182;Fuel Rail Pressure;4040;kPa;
73801.008182;Fuel Rail Pressure;4020;kPa;
73801.575182;Fuel Rail Pressure;3970;kPa;
73802.062182;Fuel Rail Pressure;4070;kPa;
73803.286182;Fuel Rail Pressure;4030;kPa;
73803.935182;Fuel Rail Pressure;4030;kPa;
73804.665182;Fuel Rail Pressure;3950;kPa;
73805.772182;Fuel Rail Pressure;4030;kPa;
73806.462182;Fuel Rail Pressure;3990;kPa;
73807.069182;Fuel Rail Pressure;3990;kPa;
73808.452182;Fuel Rail Pressure;4060;kPa;
73809.261182;Fuel Rail Pressure;4020;kPa;
73810.445182;Fuel Rail Pressure;3990;kPa;
73811.183182;Fuel Rail Pressure;4010;kPa;
73811.881182;Fuel Rail Pressure;3980;kPa;
73812.570182;Fuel Rail Pressure;4040;kPa;
73813.258182;Fuel Rail Pressure;4000;kPa;
73813.956182;Fuel Rail Pressure;4000;kPa;
73814.624182;Fuel Rail Pressure;4000;kPa;
73815.311182;Fuel Rail Pressure;4010;kPa;
73816.120182;Fuel Rail Pressure;4020;kPa;
73817.168182;Fuel Rail Pressure;3960;kPa;
73817.735182;Fuel Rail Pressure;3960;kPa;
73818.392182;Fuel Rail Pressure;4000;kPa;
73818.891182;Fuel Rail Pressure;3980;kPa;
73819.549182;Fuel Rail Pressure;3780;kPa;
