SECONDS;PID;VALUE;UNITS;
73801.737182;Engine RPM;712;rpm;
73802.458182;Engine RPM;709;rpm;
73803.570182;Engine RPM;705;rpm;
73804.128182;Engine RPM;701;rpm;
73805.316182;Engine RPM;715;rpm;
73806.046182;Engine RPM;692;rpm;
73806.674182;Engine RPM;701;rpm;
73807.463182;Engine RPM;710;rpm;
73808.725182;Engine RPM;706;rpm;
73809.819182;Engine RPM;698;rpm;
73810.718182;Engine RPM;709;rpm;
73811.386182;Engine RPM;712;rpm;
73812.165182;Engine RPM;708;rpm;
73812.752182;Engine RPM;700;rpm;
73813.531182;Engine RPM;708;rpm;
73814.199182;Engine RPM;706;rpm;
73814.856182;Engine RPM;705;rpm;
73815.514182;Engine RPM;697;rpm;
73816.783182;Engine RPM;706;rpm;
73817.340182;Engine RPM;697;rpm;
73817.977182;Engine RPM;709;rpm;
73818.574182;Engine RPM;705;rpm;
73819.134182;Engine RPM;710;rpm;
73819.762182;Engine RPM;1069;rpm;
73820.459182;Engine RPM;982;rpm;
73821.157182;Engine RPM;948;rpm;
73821.795182;Engine RPM;897;rpm;
73822.403182;Engine RPM;874;rpm;
73823.121182;Engine RPM;843;rpm;
73823.668182;Engine RPM;811;rpm;
73824.416182;Engine RPM;794;rpm;
73825.034182;Engine RPM;745;rpm;
73825.631182;Engine RPM;721;rpm;
73826.198182;Engine RPM;721;rpm;
73826.795182;Engine RPM;712;rpm;
73827.433182;Engine RPM;691;rpm;
73828.100182;Engine RPM;696;rpm;
73828.757182;Engine RPM;708;rpm;
73829.456182;Engine RPM;719;rpm;
73830.084182;Engine RPM;714;rpm;
73830.802182;Engine RPM;703;rpm;
73832.114182;Engine RPM;707;rpm;
73832.974182;Engine RPM;706;rpm;
73833.551182;Engine RPM;703;rpm;
73834.108182;Engine RPM;709;rpm;
73834.727182;Engine RPM;710;rpm;
73835.335182;Engine RPM;707;rpm;
73835.913182;Engine RPM;704;rpm;
73836.510182;Engine RPM;711;rpm;
73837.037182;Engine RPM;707;rpm;
73837.633182;Engine RPM;703;rpm;
73838.261182;Engine RPM;704;rpm;
73838.959182;Engine RPM;711;rpm;
73839.556182;Engine RPM;705;rpm;
73840.193182;Engine RPM;706;rpm;
73840.831182;Engine RPM;709;rpm;
