SECONDS;PID;VALUE;UNITS;
73797.611182;Distance travelled (total);0;miles;
73798.249182;Distance travelled (total);0;miles;
73798.868182;Distance travelled (total);0;miles;
73799.517182;Distance travelled (total);0;miles;
73799.995182;Distance travelled (total);0;miles;
73800.633182;Distance travelled (total);0;miles;
73801.231182;Distance travelled (total);0;miles;
73801.758182;Distance travelled (total);0;miles;
73802.508182;Distance travelled (total);0;miles;
73803.590182;Distance travelled (total);0;miles;
73804.148182;Distance travelled (total);0;miles;
73805.397182;Distance travelled (total);0;miles;
73806.086182;Distance travelled (total);0;miles;
73806.695182;Distance travelled (total);0;miles;
73807.543182;Distance travelled (total);0;miles;
73808.766182;Distance travelled (total);0;miles;
73809.939182;Distance travelled (total);0;miles;
73810.738182;Distance travelled (total);0;miles;
73811.427182;Distance travelled (total);0;miles;
73812.215182;Distance travelled (total);0;miles;
73812.813182;Distance travelled (total);0;miles;
73813.551182;Distance travelled (total);0;miles;
73814.249182;Distance travelled (total);0;miles;
73814.917182;Distance travelled (total);0;miles;
73815.545182;Distance travelled (total);0;miles;
73816.804182;Distance travelled (total);0;miles;
73817.361182;Distance travelled (total);0;miles;
73817.998182;Distance travelled (total);0;miles;
73818.595182;Distance travelled (total);0;miles;
73819.175182;Distance travelled (total);0;miles;
73819.782182;Distance travelled (total);0.000314587341177523;miles;
73820.520182;Distance travelled (total);0.000569229570834107;miles;
73821.178182;Distance travelled (total);0.000569229570834107;miles;
73821.816182;Distance travelled (total);0.000569229570834107;miles;
73822.474182;Distance travelled (total);0.000569229570834107;miles;
73823.142182;Distance travelled (total);0.000569229570834107;miles;
73823.708182;Distance travelled (total);0.000569229570834107;miles;
73824.436182;Distance travelled (total);0.000569229570834107;miles;
73825.054182;Distance travelled (total);0.000569229570834107;miles;
73825.651182;Distance travelled (total);0.000569229570834107;miles;
73826.218182;Distance travelled (total);0.000569229570834107;miles;
73826.816182;Distance travelled (total);0.000569229570834107;miles;
73827.503182;Distance travelled (total);0.000569229570834107;miles;
73828.140182;Distance travelled (total);0.000569229570834107;miles;
73828.777182;Distance travelled (total);0.000569229570834107;miles;
73829.476182;Distance travelled (total);0.000569229570834107;miles;
73830.105182;Distance travelled (total);0.000569229570834107;miles;
73830.823182;Distance travelled (total);0.000569229570834107;miles;
73832.215182;Distance travelled (total);0.000569229570834107;miles;
73832.994182;Distance travelled (total);0.000569229570834107;miles;
73833.571182;Distance travelled (total);0.000569229570834107;miles;
73834.149182;Distance travelled (total);0.000569229570834107;miles;
73834.767182;Distance travelled (total);0.000569229570834107;miles;
73835.355182;Distance travelled (total);0.000569229570834107;miles;
73835.933182;Distance travelled (total);0.000569229570834107;miles;
73836.531182;Distance travelled (total);0.000569229570834107;miles;
73837.057182;Distance travelled (total);0.000569229570834107;miles;
73837.704182;Distance travelled (total);0.000569229570834107;miles;
73838.311182;Distance travelled (total);0.000569229570834107;miles;
73838.979182;Distance travelled (total);0.000569229570834107;miles;
73839.576182;Distance travelled (total);0.000569229570834107;miles;
73840.233182;Distance travelled (total);0.000569229570834107;miles;
73840.882182;Distance travelled (total);0.000569229570834107;miles;
73841.438182;Distance travelled (total);0.000569229570834107;miles;
73842.147182;Distance travelled (total);0.000569229570834107;miles;
73842.727182;Distance travelled (total);0.000569229570834107;miles;
73843.335182;Distance travelled (total);0.000569229570834107;miles;
73845.845182;Distance travelled (total);0.000569229570834107;miles;
73847.252182;Distance travelled (total);0.000569229570834107;miles;
