SECONDS;PID;VALUE;UNITS;
73797.095182;Power from MAF;3.576;hp;
73797.712182;Power from MAF;3.36;hp;
73798.351182;Power from MAF;3.456;hp;
73799.040182;Power from MAF;2.82;hp;
73799.638182;Power from MAF;2.82;hp;
73800.076182;Power from MAF;3.624;hp;
73800.694182;Power from MAF;2.592;hp;
73801.312182;Power from MAF;2.46;hp;
73801.849182;Power from MAF;2.724;hp;
73802.841182;Power from MAF;3.384;hp;
73803.671182;Power from MAF;3.336;hp;
73804.230182;Power from MAF;2.952;hp;
73805.549182;Power from MAF;3.9;hp;
73806.238182;Power from MAF;2.508;hp;
73806.826182;Power from MAF;3.912;hp;
73807.766182;Power from MAF;3.816;hp;
73808.826182;Power from MAF;3.504;hp;
73810.172182;Power from MAF;2.88;hp;
73810.840182;Power from MAF;3.696;hp;
73811.618182;Power from MAF;2.484;hp;
73812.306182;Power from MAF;3.48;hp;
73812.904182;Power from MAF;3.444;hp;
73813.642182;Power from MAF;3.6;hp;
73814.371182;Power from MAF;3.9;hp;
73815.069182;Power from MAF;2.544;hp;
73815.646182;Power from MAF;3.756;hp;
73816.885182;Power from MAF;2.7;hp;
73817.503182;Power from MAF;3.708;hp;
73818.099182;Power from MAF;3.312;hp;
73818.696182;Power from MAF;2.916;hp;
73819.256182;Power from MAF;5.976;hp;
73819.883182;Power from MAF;3.336;hp;
73820.682182;Power from MAF;5.184;hp;
73821.269182;Power from MAF;4.152;hp;
73821.897182;Power from MAF;3.912;hp;
73822.575182;Power from MAF;3.336;hp;
73823.243182;Power from MAF;3.096;hp;
73823.839182;Power from MAF;3.54;hp;
73824.557182;Power from MAF;2.868;hp;
73825.215182;Power from MAF;3.732;hp;
73825.762182;Power from MAF;3.204;hp;
73826.309182;Power from MAF;3.756;hp;
73826.927182;Power from MAF;2.568;hp;
73827.584182;Power from MAF;3.096;hp;
73828.222182;Power from MAF;3.816;hp;
73828.919182;Power from MAF;3.144;hp;
73829.607182;Power from MAF;2.508;hp;
73830.226182;Power from MAF;3.072;hp;
73831.055182;Power from MAF;2.808;hp;
73832.417182;Power from MAF;2.604;hp;
73833.085182;Power from MAF;3.276;hp;
73833.683182;Power from MAF;3.696;hp;
73834.271182;Power from MAF;3.924;hp;
73834.848182;Power from MAF;3.108;hp;
73835.476182;Power from MAF;2.892;hp;
73836.014182;Power from MAF;3.564;hp;
73836.612182;Power from MAF;2.604;hp;
73837.209182;Power from MAF;3.84;hp;
73837.785182;Power from MAF;3.336;hp;
73838.412182;Power from MAF;3.504;hp;
73839.091182;Power from MAF;2.58;hp;
73839.667182;Power from MAF;3.972;hp;
73840.345182;Power from MAF;2.472;hp;
73841.003182;Power from MAF;3.06;hp;
73841.550182;Power from MAF;2.52;hp;
73842.268182;Power from MAF;3.888;hp;
73842.858182;Power from MAF;2.76;hp;
73843.456182;Power from MAF;2.76;hp;
73846.797182;Power from MAF;3.108;hp;
73847.344182;Power from MAF;3.624;hp;
73848.062182;Power from MAF;2.46;hp;
73848.669182;Power from MAF;2.928;hp;
73849.356182;Power from MAF;3.48;hp;
73849.944182;Power from MAF;2.496;hp;
73850.511182;Power from MAF;3.804;hp;
73851.280182;Power from MAF;3.156;hp;
73851.878182;Power from MAF;2.832;hp;
73852.535182;Power from MAF;2.508;hp;
73853.102182;Power from MAF;3.636;hp;
73853.820182;Power from MAF;3.348;hp;
73854.427182;Power from MAF;2.64;hp;
73855.185182;Power from MAF;3.888;hp;
73855.812182;Power from MAF;2.484;hp;
73856.833182;Power from MAF;2.76;hp;
73858.195182;Power from MAF;2.46;hp;
73858.813182;Power from MAF;4.464;hp;
73859.419182;Power from MAF;3.78;hp;
73860.096182;Power from MAF;3.612;hp;
73860.652182;Power from MAF;4.404;hp;
