SECONDS;PID;VALUE;UNITS;
73823.142182;Average speed;0.0130301419715011;mph;
73823.708182;Average speed;0.0129833906265532;mph;
73824.436182;Average speed;0.0129237826961374;mph;
73825.054182;Average speed;0.0128736140443676;mph;
73825.651182;Average speed;0.0128255046106724;mph;
73826.218182;Average speed;0.0127801459752528;mph;
73826.816182;Average speed;0.0127326862469382;mph;
73827.503182;Average speed;0.0126785311834734;mph;
73828.140182;Average speed;0.0126287715412351;mph;
73828.777182;Average speed;0.0125793690266442;mph;
73829.476182;Average speed;0.0125256349760943;mph;
73830.105182;Average speed;0.0124776966031682;mph;
73830.823182;Average speed;0.0124233957523561;mph;
73832.215182;Average speed;0.0123193647764166;mph;
73832.994182;Average speed;0.0122619711116177;mph;
73833.571182;Average speed;0.0122197632833711;mph;
73834.149182;Average speed;0.0121778182552916;mph;
73834.767182;Average speed;0.0121332270637893;mph;
73835.355182;Average speed;0.0120911497065903;mph;
73835.933182;Average speed;0.0120500636246129;mph;
73836.531182;Average speed;0.0120078474231184;mph;
73837.057182;Average speed;0.0119709123798556;mph;
73837.704182;Average speed;0.0119258648888498;mph;
73838.311182;Average speed;0.0118838581998673;mph;
73838.979182;Average speed;0.0118380181526662;mph;
73839.576182;Average speed;0.0117973156073182;mph;
73840.233182;Average speed;0.0117528517070388;mph;
73840.882182;Average speed;0.0117093168856992;mph;
73841.438182;Average speed;0.0116721854016227;mph;
73842.147182;Average speed;0.0116252985316666;mph;
73842.727182;Average speed;0.0115871431176818;mph;
73843.335182;Average speed;0.0115474609371648;mph;
73845.845182;Average speed;0.0113864094593774;mph;
73847.252182;Average speed;0.0112980538040988;mph;
73847.920182;Average speed;0.0112565969057589;mph;
73848.588182;Average speed;0.0112154524739306;mph;
73849.235182;Average speed;0.0111758864923972;mph;
73849.843182;Average speed;0.0111389289781093;mph;
73850.420182;Average speed;0.0111041320163095;mph;
73851.139182;Average speed;0.0110610496552683;mph;
73851.747182;Average speed;0.0110248680647624;mph;
73852.404182;Average speed;0.0109860381839874;mph;
73852.991182;Average speed;0.0109515435294167;mph;
73853.708182;Average speed;0.0109097223558503;mph;
73854.305182;Average speed;0.0108751721789077;mph;
73855.094182;Average speed;0.0108298329128591;mph;
73855.691182;Average speed;0.01079576975427;mph;
73856.550182;Average speed;0.0107471199825034;mph;
73858.023182;Average speed;0.0106647553793494;mph;
73858.701182;Average speed;0.0106272396315798;mph;
73859.338182;Average speed;0.0105922516490062;mph;
73859.985182;Average speed;0.0105569730021408;mph;
73860.561182;Average speed;0.010525702177045;mph;
73861.198182;Average speed;0.0104913711657215;mph;
73861.816182;Average speed;0.0104583176995544;mph;
73862.443182;Average speed;0.0104249519395433;mph;
73863.071182;Average speed;0.0103917480474143;mph;
73863.668182;Average speed;0.0103603832349249;mph;
73864.245182;Average speed;0.0103302361144397;mph;
73864.872182;Average speed;0.0102976823855055;mph;
73865.510182;Average speed;0.0102648097121738;mph;
73866.218182;Average speed;0.0102285269548762;mph;
73866.805182;Average speed;0.0101986343334118;mph;
73867.494182;Average speed;0.0101638070035118;mph;
73868.031182;Average speed;0.0101367672105544;mph;
73868.760182;Average speed;0.0101003843151683;mph;
73869.368182;Average speed;0.0100701820711105;mph;
73870.005182;Average speed;0.0100387599050658;mph;
73870.633182;Average speed;0.0100079673077177;mph;
73871.230182;Average speed;0.0099788586982695;mph;
73871.899182;Average speed;0.0119626849389763;mph;
73872.415182;Average speed;0.0165918381668698;mph;
73873.173182;Average speed;0.0301695862056292;mph;
73873.720182;Average speed;0.0382625179313415;mph;
73874.307182;Average speed;0.0434024870637411;mph;
73874.894182;Average speed;0.0485186832829269;mph;
73875.571182;Average speed;0.0563878797283341;mph;
73876.229182;Average speed;0.0659227141431994;mph;
73876.826182;Average speed;0.0762961040875802;mph;
73877.373182;Average speed;0.0873419214827395;mph;
73877.980182;Average speed;0.101327171186897;mph;
73878.659182;Average speed;0.116849876231263;mph;
73879.326182;Average speed;0.133954956087859;mph;
73880.389182;Average speed;0.154858822373262;mph;
73881.521182;Average speed;0.160568328130881;mph;
73882.108182;Average speed;0.163506510789221;mph;
73882.685182;Average speed;0.168030484324228;mph;
73883.353182;Average speed;0.175154656528595;mph;
73884.092182;Average speed;0.187179900225704;mph;
73884.690182;Average speed;0.201940610617933;mph;
73885.186182;Average speed;0.216968254180489;mph;
73885.744182;Average speed;0.236892275514649;mph;
73886.401182;Average speed;0.260271622364965;mph;
73887.100182;Average speed;0.286916644254997;mph;
73887.718182;Average speed;0.312102315667752;mph;
73888.315182;Average speed;0.336268490848746;mph;
73888.872182;Average speed;0.358718877936681;mph;
73889.500182;Average speed;0.383870949873007;mph;
73890.108182;Average speed;0.408107655610027;mph;
73890.555182;Average speed;0.425821948600645;mph;
73891.283182;Average speed;0.454560663090707;mph;
73892.052182;Average speed;0.482597747711233;mph;
73892.660182;Average speed;0.504624720504756;mph;
73893.329182;Average speed;0.530556689421494;mph;
73893.887182;Average speed;0.552051590668343;mph;
73894.636182;Average speed;0.582794558200654;mph;
73895.193182;Average speed;0.605561712000723;mph;
73895.822182;Average speed;0.632765284231911;mph;
73896.481182;Average speed;0.662914049026598;mph;
73897.028182;Average speed;0.690791306360081;mph;
73897.710182;Average speed;0.727148107848403;mph;
