SECONDS;PID;VALUE;UNITS;
73823.182182;Timing advance;15;°;
73823.748182;Timing advance;15;°;
73824.466182;Timing advance;14;°;
73825.134182;Timing advance;16;°;
73825.701182;Timing advance;15;°;
73826.238182;Timing advance;13;°;
73826.836182;Timing advance;14;°;
73827.544182;Timing advance;14;°;
73828.161182;Timing advance;13;°;
73828.818182;Timing advance;12;°;
73829.517182;Timing advance;11;°;
73830.125182;Timing advance;11;°;
73830.923182;Timing advance;12;°;
73832.346182;Timing advance;11;°;
73833.014182;Timing advance;12;°;
73833.592182;Timing advance;12;°;
73834.179182;Timing advance;11;°;
73834.808182;Timing advance;11;°;
73835.375182;Timing advance;12;°;
73835.953182;Timing advance;12;°;
73836.551182;Timing advance;11;°;
73837.138182;Timing advance;12;°;
73837.724182;Timing advance;12;°;
73838.352182;Timing advance;12;°;
73838.999182;Timing advance;12;°;
73839.597182;Timing advance;12;°;
73840.304182;Timing advance;12;°;
73840.902182;Timing advance;12;°;
73841.489182;Timing advance;11;°;
73842.167182;Timing advance;12;°;
73842.788182;Timing advance;11;°;
73843.395182;Timing advance;11;°;
73846.716182;Timing advance;13;°;
73847.303182;Timing advance;12;°;
73847.941182;Timing advance;11;°;
73848.608182;Timing advance;11;°;
73849.286182;Timing advance;11;°;
73849.864182;Timing advance;12;°;
73850.440182;Timing advance;11;°;
73851.159182;Timing advance;12;°;
73851.807182;Timing advance;11;°;
73852.444182;Timing advance;11;°;
73853.012182;Timing advance;12;°;
73853.729182;Timing advance;12;°;
73854.356182;Timing advance;11;°;
73855.114182;Timing advance;12;°;
73855.732182;Timing advance;12;°;
73856.661182;Timing advance;11;°;
73858.094182;Timing advance;15;°;
73858.752182;Timing advance;18;°;
73859.379182;Timing advance;12;°;
73860.035182;Timing advance;15;°;
73860.592182;Timing advance;15;°;
73861.219182;Timing advance;15;°;
73861.866182;Timing advance;17;°;
73862.493182;Timing advance;15;°;
73863.091182;Timing advance;16;°;
73863.719182;Timing advance;14;°;
73864.266182;Timing advance;16;°;
73864.913182;Timing advance;16;°;
73865.570182;Timing advance;16;°;
73866.258182;Timing advance;15;°;
73866.825182;Timing advance;15;°;
73867.534182;Timing advance;15;°;
73868.072182;Timing advance;15;°;
73868.780182;Timing advance;16;°;
73869.388182;Timing advance;15;°;
73870.076182;Timing advance;15;°;
73870.704182;Timing advance;17;°;
73871.281182;Timing advance;14;°;
73871.939182;Timing advance;16;°;
73872.466182;Timing advance;16;°;
73873.214182;Timing advance;13;°;
73873.761182;Timing advance;5;°;
73874.327182;Timing advance;8;°;
73874.935182;Timing advance;11;°;
73875.592182;Timing advance;10;°;
73876.249182;Timing advance;13;°;
73876.857182;Timing advance;14;°;
73877.393182;Timing advance;7;°;
73878.001182;Timing advance;9;°;
73878.699182;Timing advance;10;°;
73879.396182;Timing advance;5;°;
73880.451182;Timing advance;16;°;
73881.541182;Timing advance;20;°;
73882.149182;Timing advance;15;°;
73882.756182;Timing advance;17;°;
73883.374182;Timing advance;17;°;
73884.112182;Timing advance;16;°;
73884.710182;Timing advance;30;°;
73885.227182;Timing advance;38;°;
73885.784182;Timing advance;32;°;
73886.422182;Timing advance;18;°;
73887.120182;Timing advance;10;°;
73887.759182;Timing advance;8;°;
73888.355182;Timing advance;12;°;
73888.913182;Timing advance;11;°;
73889.520182;Timing advance;12;°;
73890.128182;Timing advance;12;°;
73890.615182;Timing advance;11;°;
73891.303182;Timing advance;13;°;
